seed,guide,true_fc,est_fc,bias,r_pearson,r_spearman
72,CA2,1.0,1.048799850416926,0.04879985041692603,0.2815807597190668,0.32551594746716705
73,NTC_1,0.0,-1.0738889198772634,-1.0738889198772634,-0.012568749166317048,0.037593984962406006
73,KO1,-2.0,-3.0319444160930837,-1.0319444160930837,0.30489141782094586,0.4818011257035648
73,KO2,-1.3219280948873622,-2.493526123093816,-1.171598028206454,0.056851849149483866,0.1553470919324578
73,KO3,-0.029146345659516508,-0.9677673798076833,-0.9386210341481669,0.3446465565833547,0.4136960600375235
73,CA1,0.5849625007211562,-0.41150584034845483,-0.996468341069611,-0.02987066694319981,0.056285178236397754
73,CA2,1.0,-0.09811987690851343,-1.0981198769085134,0.006587644846103306,0.15834896810506568
74,NTC_1,0.0,0.2954672355182444,0.2954672355182444,0.45295829155603107,0.38646616541353385
74,KO1,-2.0,-2.063465259598943,-0.06346525959894311,0.20903973259654157,0.18067542213883678
74,KO2,-1.3219280948873622,-1.2861510735027517,0.035777021384610475,0.25655122850815687,0.1977485928705441
74,KO3,-0.029146345659516508,0.08915410227849829,0.11830044793801481,0.1752058279760676,0.17954971857410884
74,CA1,0.5849625007211562,0.6745060462482249,0.08954354552706867,0.47724535085835484,0.49549718574108825
74,CA2,1.0,1.0923713225848948,0.09237132258489478,0.4732761980614568,0.451969981238274
75,NTC_1,0.0,0.01790557093694556,0.01790557093694556,0.535700332091136,0.5308270676691729
75,KO1,-2.0,-2.2145425301067556,-0.2145425301067556,0.05507514242987859,0.021951219512195124
75,KO2,-1.3219280948873622,-1.436112545060369,-0.11418445017300671,0.21770918944743325,0.2101313320825516
75,KO3,-0.029146345659516508,0.03267512507512915,0.06182147073464566,0.42037415557043584,0.3180112570356473
75,CA1,0.5849625007211562,0.5186851996906077,-0.06627730103054852,0.4285476331621057,0.44502814258911827
75,CA2,1.0,1.0696419257648264,0.06964192576482642,0.28646632423933305,0.2705440900562852
76,NTC_1,0.0,-0.02610077671930444,-0.02610077671930444,0.18108463813009285,0.048120300751879695
76,KO1,-2.0,-2.1740590553753103,-0.1740590553753103,0.07755147961421878,0.10900562851782367
76,KO2,-1.3219280948873622,-1.3504282455913748,-0.028500150704012572,0.3401554265886059,0.38424015009380863
76,KO3,-0.029146345659516508,-0.31929888539240014,-0.29015253973288363,0.33200977295746603,0.21951219512195125
76,CA1,0.5849625007211562,0.36040196604802954,-0.22456053467312664,0.5545405531158112,0.5934333958724204
